Name,Team,Position
D. Nyoni, Silver Strikers,
S. Davie, Silver Strikers,
G. Chaomba, Silver Strikers,
Samuel Adeyemi,Ekwendeni Hammers,
J. Dambuleni,Civil Service United,
B. Katinji,Civil Service United,
C. Batson,Civil Service United,
P. Chipungu, Mighty Tigers,
Chikumbutso Salima,Bangwe All Stars,
R. Saizi,Bangwe All Stars,
K. Ng'ambi,Bangwe All Stars,
G. Soko,MAFCO,
Paipi,Silver Strikers,
Humphreys Minandi,Red Lions,
P. Cholopi,Mighty Mukuru Wanderers,
C. Kumwembe,Mighty Mukuru Wanderers,
W. Mpinganjira,Mighty Mukuru Wanderers,
M. Mhone 53',Blue Eagles,
T. Viyuyi,Blue Eagles,
Ephraim Kondowe,FCB Nyasa Big Bullets,
M. Gasten,FCB Nyasa Big Bullets,
L. Nkhoma,FCB Nyasa Big Bullets,
Olson Kanjira,Kamuzu Barracks,
F. Madinga,Mighty Mukuru Wanderers,
P. Macheso,Mighty Tigers,
Emmanuel Kaunga,Silver Strickers,
Deus Mkutu,Red Lions,
Rabson Chiyenda,FCB Nyasa Big Bullets,Goalkeeper
Richard Chimbamba,FCB Nyasa Big Bullets,Goalkeeper
Clever Mkungula,FCB Nyasa Big Bullets,Goalkeeper
John Lanjesi,FCB Nyasa Big Bullets,Defender
Nickson Nyasulu,FCB Nyasa Big Bullets,Defender
Kesten Simbi,FCB Nyasa Big Bullets,Defender
Gomezgani Chirwa,FCB Nyasa Big Bullets,Defender
Clyde Senaji Navade,FCB Nyasa Big Bullets,Defender
Collins Okumu,FCB Nyasa Big Bullets,Defender
Blessings Mpokera,FCB Nyasa Big Bullets,Defender
Alick Lungu,FCB Nyasa Big Bullets,Defender
Precious Sambani,FCB Nyasa Big Bullets,Defender
Erick Kaonga,FCB Nyasa Big Bullets,Defender
Yamikani Fodya,FCB Nyasa Big Bullets,Defender
Frank Willard,FCB Nyasa Big Bullets,Midfielder
Henry Kabichi,FCB Nyasa Big Bullets,Midfielder
Chawanangwa Gumbo,FCB Nyasa Big Bullets,Midfielder
Yankho Singo,FCB Nyasa Big Bullets,Midfielder
Thomson Magombo,FCB Nyasa Big Bullets,Midfielder
Mike Mkwate,FCB Nyasa Big Bullets,Midfielder
Ernest Petro,FCB Nyasa Big Bullets,Midfielder
Kenneth Pasuwa,FCB Nyasa Big Bullets,Midfielder
McFallen Mgwira,FCB Nyasa Big Bullets,Winger
Precious Phiri,FCB Nyasa Big Bullets,Winger
Patrick Mwaungulu,FCB Nyasa Big Bullets,Winger
Righteous Banda,FCB Nyasa Big Bullets,Winger
Lanjesi Nkhoma,FCB Nyasa Big Bullets,Winger
Stanley Billiat,FCB Nyasa Big Bullets,Winger
Anthony Mfune,FCB Nyasa Big Bullets,Forward
Maxwell Phodo,FCB Nyasa Big Bullets,Forward
Hassan Kajoke,FCB Nyasa Big Bullets,Forward
Chinedu Okafor,FCB Nyasa Big Bullets,Forward
Ephraim Kondowe,FCB Nyasa Big Bullets,Forward
WILLIAM THOLE,Might Wanderers,Goalkeeper
RICHARD CHIPUWA,Might Wanderers,Goalkeeper
ADELEKE KOLAWOLE,Might Wanderers,Defender
PETER CHOLOPI,Might Wanderers,Defender,
STANLEY SANUDI,Might Wanderers,Defender
MIRACLE GABEYA,Might Wanderers,Defender
ALFRED MANYOZO JNR,Might Wanderers,Midfielder
BALIKIN HO MWAKANYANGO,Might Wanderers,Midfielder,
FELIX ZULU,Might Wanderers,Midfielder
VITUMBIKO KUMWENDA,Might Wanderers,Midfielder
FRANCIS NKONDA,Might Wanderers,Midfielder
ISAAC KALIATI,Might Wanderers,Midfielder
WISDOM MPINGANJIRA,Might Wanderers,Midfielder
VINCENT NYANGULU,Might Wanderers,Forward
MISHECK BOTOMAN,Might Wanderers,Forward
CHIUKEPO MSOWOYA,Might Wanderers,Forward
BLESSINGS JUMA,Extreme,Goalkeeper
ARON CHIKUNI,Extreme,Defender
DANIEL MPONYA,Extreme,Defender
JOHN CHALAMANDA,Extreme,Defender
FRANCIS PUKUSU,Extreme,Defender
GRIFFIN NG'ANJO,Extreme,Midfielder
JUNIOR BANDA,Extreme,Midfielder
BESTON JIMU,Extreme,Midfielder
GREGORY MWASE,Extreme,Striker
CHIFUNDO GEORGE,Extreme,Striker
MAVUTO CHIPOLOPOLO,Extreme,Striker
Lumbani Chitete,Civo United,Goalkeeper
Richard Mwaila,Civo United,Goalkeeper
Tione Tembo,Civo United,Goalkeeper
Bashir Puyol Maunde,Civo United,Defender
Boston Kabango,Civo United,Defender
Erick Atsigah,Civo United,Defender
Willard Dickson,Civo United,Defender
Kelvin Kadzinje,Civo United,Defender
Timothy Silwimbi,Civo United,Defender
John Dambuleni,Civo United,Defender
Dan Kumwenda,Civo United,Midfielder
Henry Msowoya,Civo United,Midfielder
Victor Lungu,Civo United,Midfielder
Moses Banda,Civo United,Midfielder
Lloyd Aaron,Civo United,Midfielder
Shukran Mwawa,Civo United,Midfielder
Arnold Masamba,Civo United,Midfielder
William Mwalwimbi,Civo United,Midfielder
Muhamad Baison,Civo United,Midfielder
Innocent Tanganyika,Civo United,Midfielder
Lanken Mwale,Civo United,Striker
Luke Chima,Civo United,Striker
Juma Yatina,Civo United,Striker
Shasimbiwe Kanyika,Civo United,Striker
Patrick Phiri,Civo United,Striker
Chikaiko Batison,Civo United,Striker
Binwell Katinji,Civo United,Striker
Christopher Kumwembe,Civo United,Striker
Charles Thom,Silver Striker,GOALKEEPER
Pilirani Mapira,Silver Striker,GOALKEEPER
Emance Nyirenda,Silver Striker,GOALKEEPER
Charles Chisale,Silver Striker,GOALKEEPER
Mark Fodya,Silver Striker,DEFENDER
Nickson Mwase,Silver Striker,DEFENDER
Tatenda M'balaka,Silver Striker,DEFENDER
Maxwell Paipi,Silver Striker,DEFENDER
Innocent Shema,Silver Striker,DEFENDER
Chisomo Mpachika,Silver Striker,DEFENDER
Emmanuel Kaunga,Silver Striker,DEFENDER
Haddy Ng'andu,Silver Striker,DEFENDER
Dan Sandukila,Silver Striker,DEFENDER
Chimwemwe Idana,Silver Striker,MIDFIELDER
Zebron Kalima,Silver Striker,MIDFIELDER
Chinsisi Maonga,Silver Striker,MIDFIELDER
Phillip Banda,Silver Striker,MIDFIELDER
Duncan Nyoni,Silver Striker,MIDFIELDER
Patrick Macheso,Silver Striker,MIDFIELDER
Tathedwa Willard,Silver Striker,MIDFIELDER
Uchizi Vunga,Silver Striker,MIDFIELDER
Emmanuel Muyira,Silver Striker,MIDFIELDER
Chikondi Kamanga,Silver Striker,MIDFIELDER
Francis Nyirenda,Silver Striker,MIDFIELDER
Stain Davie,Silver Striker,STRIKER
Madalitso Maso,Silver Striker,STRIKER
China Chirwa,Silver Striker,STRIKER
Atusaye Nyondo,Silver Striker,STRIKER
Rodwell Robert,Silver Striker,STRIKER
Gift Chunga,Silver Striker,STRIKER
