date,opponent ,team score,opponent score,result,venue
04/09/22,Mozambique ,0,0,draw,away
25/02/23,Lesotho,1,1,draw,home
15/03/23,Bangladesh ,1,1,draw,away
24/03/23,Egypt ,0,2,loss,away
28/03/23,Egypt ,0,4,loss,home
08/07/22,Eswatini,1,1,draw,home
10/07/22,Mauritius ,2,0,win ,away 
27/08/22,Mozambique ,1,1,draw ,home
18/01/22,Senegal ,0,0,draw,home
25/01/22,Morocco ,1,2,loss,away
05/06/22,Ethiopia,2,1,win,home
09/06/22,Guinea ,0,1,loss,away
06/07/22,Lesotho ,1,2,loss,away
16/11/21,Mozambique ,0,1,loss,away
31/12/21,Comoros ,1,0,win,away
10/01/22,Guinea,0,1,loss,away
14/01/22,Zimbabwe ,2,1,win,home
03/09/21,Cameroon,0,2,loss,away
07/09/21,Mozambique ,1,0,win,home
08/10/21,Cote d'Ivoire ,0,3,loss,home 
11/10/21,Cote d'Ivoire ,1,2,loss,away
13/11/21,Cameroon ,0,4,loss,home
13/06/21,Tanzania ,0,2,loss,away
09/07/21,Zimbabwe ,2,2,draw ,home
11/07/21,Mozambique ,0,2,loss,away
13/07/21,Namibia ,1,1,draw,home
14/07/21,Senegal ,1,2,loss,away 
12/11/20,Burkina Faso ,1,3,loss,away
16/11/20,Burkina Faso ,0,0,draw ,home 
17/03/21,Ethiopia ,0,4,loss,away
24/03/21,South Sudan ,1,0,win,away 
29/03/21,Uganda ,1,0,win,home
