title,genre,released_year,artist,produced_by,song_cover,song_link
Handede,Afro,2023,Merchah,Chawa Beats,https://da70jmtbwpiws.cloudfront.net/Merchah Handede.jpg,https://da70jmtbwpiws.cloudfront.net/10.Merchah - Handede (Prod by Chawa Beats).mp3
Loss,Afro,2023,Kell Kay feat Hyphen and Eli Njuchi,Tricky Beats,https://da70jmtbwpiws.cloudfront.net/Kell Kay featHyphen and Eli Njuchi.jpg,https://da70jmtbwpiws.cloudfront.net/1.Kell Kay feat Hyphen and Eli Njuchi - Loss (Prod by Tricky Beats).mp3
Drip Day ,HipHop,2023,Inno BlaQ & Juju Matrix feat Bee Jay,ChuxTpat$ePlan & Veda,https://da70jmtbwpiws.cloudfront.net/Inno BlaQ & Juju Matrix feat Bee Jay Drip Day.jpg,https://da70jmtbwpiws.cloudfront.net/Inno BlaQ & Juju Matrix feat Bee Jay - Drip Day (Prod by ChuxTpat$ePlan & Veda).mp3
Akudwala,DanceHall,2023,Kay Stevoh,DJ Langie,https://da70jmtbwpiws.cloudfront.net/Kay Stevoh Akudwala.jpg,https://da70jmtbwpiws.cloudfront.net/9.Kay Stevoh - Akudwala (Prod by DJ Langie).mp3
About Me,HipHop/Trap,2023,Charisma,BFB,https://da70jmtbwpiws.cloudfront.net/Charisma About Me.jpg,https://da70jmtbwpiws.cloudfront.net/7.Charisma - About Me (Prod by BFB).mp3
Phe Phe,HipHop,2023,Bee Jay,ToniCity & ChuxTpat$ePlan,https://da70jmtbwpiws.cloudfront.net/Bee Jay Phe Phe.jpg,https://da70jmtbwpiws.cloudfront.net/5.Bee Jay - Phe Phe (Prod by ToniCity & ChuxTpat$ePlan).mp3
Yomweyo,Amapiano,2023,Janta feat Big Xhosa x Zeze Kingston x Henwood -,S.U Records & Henwood,https://da70jmtbwpiws.cloudfront.net/Janta feat Big Xhosa x Zeze Kingston x Henwood Yomweyo.jpg,https://da70jmtbwpiws.cloudfront.net/Janta feat Big Xhosa x Zeze Kingston x Henwood - Yomweyo (Prod by S.U Records& Henwood).mp3
Zolandila,Drill/Hiphop,2023,Yashie The Kid ,STML,https://da70jmtbwpiws.cloudfront.net/Yashie The Kid Zolandira-min.jpg,https://da70jmtbwpiws.cloudfront.net/Yashie The Kid - Zolandila (Prod by STML).mp3
Arasi,DanceHall,2023,Malinga,Dj Sley,https://da70jmtbwpiws.cloudfront.net/Malinga Arasi.jpg,https://da70jmtbwpiws.cloudfront.net/3.Malinga - Arasi (Prod by DJ Sley).mp3
Alamu Anu,Amapiano,2023,NyasaPiano x Zeze Kingston,NyasaPiano & Homeland City Ent.,https://da70jmtbwpiws.cloudfront.net/Nyasapiano x Zeze Kingston Alamu Anu-min.jpg,https://da70jmtbwpiws.cloudfront.net/2.Nyasapiano x Zeze Kingston - Alamu Anu.mp3
Ndalama,Afro/HipHop,2023,Born Harder,Jeremy Okay,https://da70jmtbwpiws.cloudfront.net/Born Harder Ndalama-min.jpg,https://da70jmtbwpiws.cloudfront.net/Born Harder - Ndalama (Prod by Jeremy Okay).mp3
Duwa,Afro Dancehall,2023,Eli Njuchi,Tricky Beats,https://da70jmtbwpiws.cloudfront.net/Eli Njuchi Duwa.png,https://da70jmtbwpiws.cloudfront.net/Eli Njuchi - Duwa.mp3
Konda,Afro/RnB,2023,Fio Music,Yung Star,https://da70jmtbwpiws.cloudfront.net/Fio Music Konda-min.jpg,"https://da70jmtbwpiws.cloudfront.net/Fio Music - Konda (Prod by Yung Star).mp3"
Njee,DanceHall,2023,Chizmo Sting,Cuff-B & General Chicha,https://da70jmtbwpiws.cloudfront.net/Chizmo Sting Njee.jpg,https://da70jmtbwpiws.cloudfront.net/8.Chizmo Sting - Njee (Prod by Cuff-B & General Chicha).mp3
Tina,HipHop,2023,Phyzix feat Bee Jay & Ace Jizzy,BFB,https://da70jmtbwpiws.cloudfront.net/Phyzix feat Bee Jay & Ace Jizzy - Tina.jpg,https://da70jmtbwpiws.cloudfront.net/4.Phyzix feat Bee Jay & Ace Jizzy - Tina (Prod by BFB).mp3
Charo,HipHop/Trap,2023,C Wimz,Nic Nather & Depo,https://da70jmtbwpiws.cloudfront.net/C Wimz Charo-min.jpg,https://da70jmtbwpiws.cloudfront.net/C Wimz - Charo (Prod by Nic Nather & Depo).mp3
Mpanda,Trap,2023,"Quest feat Spyral, Mellz, Blakjak & Guntolah",Beat Bear & Martin Anjelz,"https://da70jmtbwpiws.cloudfront.net/Quest feat Spyral, Mellz, Blakjak & Guntolah Mpanda.jpg","https://da70jmtbwpiws.cloudfront.net/Quest feat Spyral, Mellz, Blakjak & Guntolah - Mpanda (Prod by Beat Bear & Martin Anjelz).mp3"
Because Of You,HipHop/Trap,2023,Xuise,Keotic,https://da70jmtbwpiws.cloudfront.net/Xuise Because of You-min.png,https://da70jmtbwpiws.cloudfront.net/Xuise - Because Of You (Prod by Keotic).mp3
Muchire,Hip-Hop/Fussion,2023,Martse feat Neo Metalz & Brown Key,Chawa Beats,https://da70jmtbwpiws.cloudfront.net/Martse feat Neo Metalz & Brown Key Muchire-min.jpg,https://da70jmtbwpiws.cloudfront.net/Martse feat Neo Metalz & Brown Key - Muchire (Prod by Chawa Beats).mp3
Chule,Amapiano,2023,Zeze Kingston x Afana Ceez x Tuno x Leumas x VJ Ice,Leumas,https://da70jmtbwpiws.cloudfront.net/Zeze Kingtson x Afana Ceez x Tuno x Leumas x VJ Ice Chule.jpg,https://da70jmtbwpiws.cloudfront.net/Zeze Kingston x Afana Ceez x Tuno x Leumas x VJ Ice - Chule (Prod by Leumas).mp3
Chuma,Afro Fusion,2023,Jay Tway,OD,https://da70jmtbwpiws.cloudfront.net/Jay Tway Chuma.jpg,https://da70jmtbwpiws.cloudfront.net/Jay Tway - Chuma (Prod by OD).mp3
Riziki ,Kwaito,2023,Papa Juxy x Guntolah ,Mackey Beats & Juxy,https://da70jmtbwpiws.cloudfront.net/Papa Juxy x Guntolah Riziki.jpg,https://da70jmtbwpiws.cloudfront.net/Papa Juxy x Guntolah - Riziki (Prod by Mackey Beats & Juxy).mp3
Dear CHH,Gospel Hiphop,2023,Beuce Africa,Manifest,https://da70jmtbwpiws.cloudfront.net/Beuce Africa Dear CHH.jpg,https://da70jmtbwpiws.cloudfront.net/Beuce Africa - Dear CHH (Prod by Manifest).mp3
Kupe,AfroPop,2023,Pop Young,Tricky Beats & Nator21,https://da70jmtbwpiws.cloudfront.net/Pop Young Love Ticket EP.jpg,https://da70jmtbwpiws.cloudfront.net/1. Pop Young - Kupe.mp3
