time,home,away,home_score,away_score
19.11. 14:30,Big Bullets,Dedza Dynamos,2,1,2022
19.11. 14:30,Blue Eagles,MAFCO,1,1,2022
19.11. 14:30,Red Lions,Mighty Wanderers,0,1,2022
16.11. 14:30,Big Bullets,Karonga United,4,1,2022
16.11. 14:30,Blue Eagles,TN Stars,5,0,2022
16.11. 14:30,Dedza Dynamos,Red Lions,0,0,2022
16.11. 14:30,Sable Farming,Mighty Wanderers,0,1,2022
13.11. 14:30,Ekwendeni Hammers,Kamuzu Barracks,1,0,2022
13.11. 14:30,Mighty Wanderers,Civo Utd,3,4,2022
12.11. 14:30,Big Bullets,Moyale Barracks,3,1,2022
12.11. 14:30,TN Stars,Karonga United,2,2,2022
09.11. 14:30,Kamuzu Barracks,TN Stars,2,0,2022
09.11. 14:30,MAFCO,Karonga United,5,0,2022
09.11. 14:30,Mighty Tigers,Big Bullets,0,2,2022
09.11. 14:30,Mighty Wanderers,Moyale Barracks,0,1,2022
06.11. 14:30,Silver Strikers,Sable Farming,2,1,2022
05.11. 14:30,Blue Eagles,Sable Farming,1,0,2022
05.11. 14:30,Moyale Barracks,Kamuzu Barracks,0,2,2022
02.11. 14:30,Civo Utd,Dedza Dynamos,0,0,2022
30.10. 14:30,Kamuzu Barracks,Silver Strikers,1,2,2022
30.10. 14:30,Karonga United,Red Lions,3,2,2022
30.10. 14:30,MAFCO,Big Bullets,1,0,2022
30.10. 14:30,Moyale Barracks,TN Stars,1,0,2022
29.10. 14:30,Blue Eagles,Mighty Wanderers,1,0,2022
29.10. 14:30,Civo Utd,Ekwendeni Hammers,1,0,2022
28.10. 14:30,Rumphi United,Red Lions,0,2,2022
23.10. 14:30,Blue Eagles,Dedza Dynamos,4,0,2022
23.10. 14:30,Moyale Barracks,Silver Strikers,0,1,2022
23.10. 14:30,TN Stars,Sable Farming,1,2,2022
22.10. 14:30,Karonga United,Mighty Wanderers,2,3,2022
22.10. 14:30,MAFCO,Sable Farming,2,0,2022
19.10. 14:30,Kamuzu Barracks,Blue Eagles,1,0,2022
19.10. 14:30,Sable Farming,Big Bullets,1,5,2022
17.10. 14:30,Civo Utd,Mighty Tigers,2,0,2022
17.10. 14:30,Dedza Dynamos,Silver Strikers,0,1,2022
16.10. 14:30,Mighty Wanderers,Ekwendeni Hammers,2,1,2022
16.10. 14:30,TN Stars,Rumphi United,2,0,2022
15.10. 14:30,Big Bullets,Blue Eagles,1,1,2022
15.10. 14:30,Civo Utd,Rumphi United,2,1,2022
15.10. 14:30,Dedza Dynamos,MAFCO,1,0,2022
15.10. 14:30,Silver Strikers,Mighty Tigers,0,1,2022
12.10. 14:30,Mighty Wanderers,Rumphi United,10,0,2022
09.10. 14:30,Dedza Dynamos,Moyale Barracks,1,1,2022
09.10. 14:30,Ekwendeni Hammers,Blue Eagles,1,0,2022
09.10. 14:30,Mighty Tigers,Karonga United,1,1,2022
